index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
602,,,,,,Seminole Tribe of Florida,Florida,,respondent,October Term 1995,94-12,,1995-037,517 U.S. 44,,,50,William Rehnquist,5,4,1995-10-11,1996-03-27,Federalism,,11th Amendment,"national supremacy: miscellaneous",,,,,,,,,"https://www.oyez.org/cases/1995/94-12","https://en.wikipedia.org/wiki/Seminole_Tribe_of_Florida_v._Florida","https://conlaw.us/case/seminole-tribe-of-florida-v-florida-1996/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","100,102,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
603,,,,,,Romer,Evans,,respondent,October Term 1995,94-1039,,1995-053,517 U.S. 620,,,,Anthony Kennedy,6,3,1995-10-10,1996-05-20,Privacy,,14th Amendment (equal protection),"privacy (cf. libel, comity: privacy)",,,,,,,,,"https://www.oyez.org/cases/1995/94-1039","https://en.wikipedia.org/wiki/Romer_v._Evans","https://conlaw.us/case/romer-v-evans-1996/",,"John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","104,101,102,105,107,108","William Rehnquist,Antonin Scalia,Clarence Thomas",
604,071,17,3,14S1C4,,United States,Virginia,,petitioner,October Term 1995,"94-1941,94-2107",,1995-085,518 U.S. 515,,318,,Ruth Bader Ginsburg,7,1,1996-01-17,1996-06-26,Civil Rights,Virginia Military Institute's Male-Only Admission Policy,14th Amendment (equal protection),sex discrimination (excluding sex discrimination in employment),,,"""There is no reason to believe that the admission of women capable of all the activities required of VMI cadets would destroy the Institute….""",Justice Ruth Bader Ginsburg,"https://briefs4.lonedissent.org/1995/united-states-v-virginia","https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1995/94-1941/19960626o_94-1941.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1995/94-1941/19960117a_94-1941.delivery.mp3",,,"https://www.oyez.org/cases/1995/94-1941","https://en.wikipedia.org/wiki/United_States_v._Virginia","https://conlaw.us/case/united-states-v-virginia-1996/",,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","107,100,101,102,104,105,108",Antonin Scalia,Clarence Thomas
605,,,,,,City of Boerne,Flores,,petitioner,October Term 1996,95-2074,,1996-087,521 U.S. 507,,,,Anthony Kennedy,6,2,1997-02-19,1997-06-25,First Amendment,Free Exercise of Religion,14th Amendment (enforcement clause),free exercise of religion,,,,,,,,,"https://www.oyez.org/cases/1996/95-2074","https://en.wikipedia.org/wiki/City_of_Boerne_v._Flores","https://conlaw.us/case/city-of-boerne-v-flores-1997/",,"William Rehnquist,John Paul Stevens,Antonin Scalia,Anthony Kennedy,Clarence Thomas,Ruth Bader Ginsburg","104,100,101,103,106,107","Sandra Day O'Connor,Stephen Breyer",David Souter
606,006,6,"1,2",14S1C3,,Washington,Glucksberg,,petitioner,October Term 1996,96-110,,1996-091,521 U.S. 702,,324,,William Rehnquist,9,0,1997-01-08,1997-06-26,Privacy,Right to Die,14th Amendment (due process),right to die,,,"""[T]he risk that a dying patient's request for assistance in ending his or her life might not be truly voluntary justifies the prohibitions on assisted suicide we uphold here.""",Justice Sandra Day O'Connor,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1996/96-110/19970626o_96-110.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/1996/96-110/19970108a_96-110.delivery.mp3",,,"https://www.oyez.org/cases/1996/96-110","https://en.wikipedia.org/wiki/Washington_v._Glucksberg",,,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas,Ruth Bader Ginsburg,Stephen Breyer","100,101,102,103,104,105,106,107,108",,
607,,,,,,Printz,United States,,petitioner,October Term 1996,95-1478,,1996-095,521 U.S. 898,,,,Antonin Scalia,5,4,1996-12-03,1997-06-27,Federalism,,Infrequently litigated statutes,"national supremacy: miscellaneous",,,,,,,,,"https://www.oyez.org/cases/1996/95-1478","https://en.wikipedia.org/wiki/Printz_v._United_States","https://conlaw.us/case/printz-v-united-states-1997/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","103,100,102,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
608,,,,,,Swidler & Berlin,United States,,petitioner,October Term 1997,97-1192,,1997-094,524 U.S. 399,,,,William Rehnquist,6,3,1998-06-08,1998-06-25,Criminal Procedure,,,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",,,,,,,,,"https://www.oyez.org/cases/1997/97-1192",,,,"William Rehnquist,John Paul Stevens,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","100,101,104,105,107,108","Sandra Day O'Connor,Antonin Scalia,Clarence Thomas",
609,,,,,,Nixon,Shrink Missouri Government PAC,,petitioner,October Term 1999,98-963,,1999-026,528 U.S. 377,,,,David Souter,6,3,1999-10-05,2000-01-24,First Amendment,,"1st Amendment (speech, press, and assembly)","campaign spending (cf. governmental corruption):",,,,,,,,,"https://www.oyez.org/cases/1999/98-963",,,,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,David Souter,Ruth Bader Ginsburg,Stephen Breyer","105,100,101,102,107,108","Antonin Scalia,Anthony Kennedy,Clarence Thomas",
610,,,,,,United States,Morrison,,respondent,October Term 1999,99-5,,1999-057,529 U.S. 598,,,,William Rehnquist,5,4,2000-01-11,2000-05-15,Federalism,,Infrequently litigated statutes,"national supremacy: miscellaneous",,,,,,,,,"https://www.oyez.org/cases/1999/99-5","https://en.wikipedia.org/wiki/United_States_v._Morrison","https://conlaw.us/case/united-states-v-morrison-2000/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","100,102,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
611,,,,,,Stenberg,Carhart,,respondent,October Term 1999,99-830,,1999-088,530 U.S. 914,,,,Stephen Breyer,5,4,2000-04-25,2000-06-28,Privacy,,14th Amendment (due process),"abortion: including contraceptives",,,,,,,,,"https://www.oyez.org/cases/1999/99-830",,,,"John Paul Stevens,Sandra Day O'Connor,David Souter,Ruth Bader Ginsburg,Stephen Breyer","108,101,102,105,107","William Rehnquist,Antonin Scalia,Anthony Kennedy,Clarence Thomas",
612,100,47,2,14S1C4,,Bush,Gore,,petitioner,October Term 2000,00-949,,2000-009,531 U.S. 98,,,51,,5,4,2000-12-11,2000-12-12,Civil Rights,Standards for Ballot Recounts,Article II § 1 and 14th Amendment,voting,,,"""[I]n a Presidential election the clearly expressed intent of the legislature must prevail. And there is no basis for…requiring the counting of improperly marked ballots….""",Chief Justice William Rehnquist,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2000/00-949/20001211a_00-949.delivery.mp3",,,"https://www.oyez.org/cases/2000/00-949","https://en.wikipedia.org/wiki/Bush_v._Gore",,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","100,102,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
613,,,,,,University of Alabama,Garrett,,petitioner,October Term 2000,99-1240,,2000-022,531 U.S. 356,,,,William Rehnquist,5,4,2000-10-11,2001-02-21,Federalism,,11th Amendment,"national supremacy: miscellaneous",,,,,,,,,"https://www.oyez.org/cases/2000/99-1240","https://en.wikipedia.org/wiki/Board_of_Trustees_of_the_University_of_Alabama_v._Garrett","https://conlaw.us/case/board-of-trustees-of-university-of-alabama-v-garrett-2001/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","100,102,103,104,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
614,,,,5I,,Ohio,Reiner,,respondent,October Term 2000,00-1028,,2000-030,532 U.S. 17,,,,,9,0,,2001-03-19,Criminal Procedure,,5th Amendment (self-incrimination),self-incrimination (other than as pertains to Miranda or immunity from prosecution),,,"The Fifth Amendment right against self-incrimination “protects the innocent as well as the guilty.” For witnesses to invoke their right against self-incrimination, they have to show only that there is “reasonable cause” to believe testifying could put them in legal jeopardy.",,,,,,"https://www.oyez.org/cases/2000/00-1028",,,,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas,Ruth Bader Ginsburg,Stephen Breyer","100,101,102,103,104,105,106,107,108",,
615,,,,,,"PGA Tour, Inc.",Martin,,respondent,October Term 2000,00-24,,2000-057,532 U.S. 661,,,,John Paul Stevens,7,2,2001-01-17,2001-05-29,Civil Rights,,Americans with Disabilities Act,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",,,,,,,,,"https://www.oyez.org/cases/2000/00-24",,,,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","101,100,102,104,105,107,108","Antonin Scalia,Clarence Thomas",
616,,,,,,Good News Club,Milford Central School,,petitioner,October Term 2000,99-2036,,2000-071,533 U.S. 98,,,,Clarence Thomas,6,3,2001-02-28,2001-06-11,First Amendment,,"1st Amendment (speech, press, and assembly)","establishment of religion (other than as pertains to parochiaid:)",,,,,,,,,"https://www.oyez.org/cases/2000/99-2036",,,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas,Stephen Breyer","106,100,102,103,104,108","John Paul Stevens,David Souter,Ruth Bader Ginsburg",
617,,,,5I,,McKune,Lile,,petitioner,October Term 2001,00-1187,,2001-058,536 U.S. 24,,,,Anthony Kennedy,5,4,2001-11-28,2002-06-10,Criminal Procedure,,5th Amendment (self-incrimination),self-incrimination (other than as pertains to Miranda or immunity from prosecution),,,A state can penalize a prisoner who refuses to confess to crimes for which he had been sentenced. The requirements of post-conviction treatment programs do not violate the right against self-incrimination.,,,,,,"https://www.oyez.org/cases/2001/00-1187","https://en.wikipedia.org/wiki/McKune_v._Lile",,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas","104,100,102,103,106","John Paul Stevens,David Souter,Ruth Bader Ginsburg,Stephen Breyer",
618,,,,,,Atkins,Virginia,,petitioner,October Term 2001,00-8452,,2001-070,536 U.S. 304,,,,John Paul Stevens,6,3,2002-02-20,2002-06-20,Criminal Procedure,,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,,,,,,,"https://www.oyez.org/cases/2001/00-8452",,,,"John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","101,102,104,105,107,108","William Rehnquist,Antonin Scalia,Clarence Thomas",
619,088,34,3,A1S9C3,,Smith,Doe,,petitioner,October Term 2002,01-729,,2002-030,538 U.S. 84,,,,Anthony Kennedy,6,3,2002-11-13,2003-03-05,Criminal Procedure,Sex Offender Registration and\\The Ex Post Facto Clause,"Article I, Section 10 (state bill of attainder or ex post facto law)",ex post facto (state),,,"""The State's determination to legislate with respect to convicted sex offenders as a class, rather than require individual determination of their dangerousness, does not make the statute a punishment under the Ex Post Facto Clause.""",Justice Anthony Kennedy,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2002/01-729/20030305o_01-729.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2002/01-729/20021113a_01-729.delivery.mp3",,,"https://www.oyez.org/cases/2002/01-729","https://en.wikipedia.org/wiki/Smith_v._Doe",,,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,David Souter,Clarence Thomas","104,100,102,103,105,106","John Paul Stevens,Ruth Bader Ginsburg,Stephen Breyer",
620,,,,,,Nevada Department of Human Resources,Hibbs,,respondent,October Term 2002,01-1368,,2002-057,538 U.S. 721,,,,William Rehnquist,6,3,2003-01-15,2003-05-27,Federalism,,14th Amendment (enforcement clause),"national supremacy: miscellaneous",,,,,,,,,"https://www.oyez.org/cases/2002/01-1368","https://en.wikipedia.org/wiki/Nevada_Department_of_Human_Resources_v._Hibbs","https://conlaw.us/case/nevada-department-of-human-resources-v-hibbs-2003/",,"William Rehnquist,John Paul Stevens,Sandra Day O'Connor,David Souter,Ruth Bader Ginsburg,Stephen Breyer","100,101,102,105,107,108","Antonin Scalia,Anthony Kennedy,Clarence Thomas",
621,,,,,,Gratz,Bollinger,,petitioner,October Term 2002,02-516,,2002-077,539 U.S. 244,,,,William Rehnquist,6,3,2003-04-01,2003-06-23,Civil Rights,,14th Amendment (equal protection),affirmative action,,,,,,,,,"https://www.oyez.org/cases/2002/02-516","https://en.wikipedia.org/wiki/Gratz_v._Bollinger","https://conlaw.us/case/gratz-v-bollinger-2003/",,"William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Anthony Kennedy,Clarence Thomas,Stephen Breyer","100,102,103,104,106,108","John Paul Stevens,David Souter,Ruth Bader Ginsburg",
622,,,,,,Grutter,Bollinger,,respondent,October Term 2002,02-241,,2002-078,539 U.S. 306,,,,Sandra Day O'Connor,5,4,2003-04-01,2003-06-23,Civil Rights,Affirmative Action,14th Amendment (equal protection),affirmative action,,,,,,,,,"https://www.oyez.org/cases/2002/02-241","https://en.wikipedia.org/wiki/Grutter_v._Bollinger","https://conlaw.us/case/grutter-v-bollinger-2003/",,"John Paul Stevens,Sandra Day O'Connor,David Souter,Ruth Bader Ginsburg,Stephen Breyer","102,101,105,107,108","William Rehnquist,Antonin Scalia,Anthony Kennedy,Clarence Thomas",
623,035,86,1,14S1C3,,Lawrence,Texas,,petitioner,October Term 2002,02-102,,2002-083,539 U.S. 558,,,52,Anthony Kennedy,6,3,2003-03-26,2003-06-26,Privacy,Consensual Homosexual Activity,14th Amendment (due process),"privacy (cf. libel, comity: privacy)",Bowers v. Hardwick (1986),,"""The petitioners are entitled to respect for their private lives. The State cannot demean their existence or control their destiny by making their private sexual conduct a crime.""",Justice Anthony Kennedy,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2002/02-102/20030626o_02-102.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2002/02-102/20030326a_02-102.delivery.mp3",,,"https://www.oyez.org/cases/2002/02-102","https://en.wikipedia.org/wiki/Lawrence_v._Texas","https://conlaw.us/case/lawrence-v-texas-2003/",,"John Paul Stevens,Sandra Day O'Connor,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","104,101,102,105,107,108","William Rehnquist,Antonin Scalia,Clarence Thomas",
624,,,,,,McConnell,Federal Election Commission,,petitioner,October Term 2003,02-1674,,2003-006,540 U.S. 93,,,,John Paul Stevens,5,4,2003-09-08,2003-12-10,First Amendment,,"1st Amendment (speech, press, and assembly)","campaign spending (cf. governmental corruption):",,,,,,,,,"https://www.oyez.org/cases/2003/02-1674","https://en.wikipedia.org/wiki/McConnell_v._FEC","https://conlaw.us/case/mcconnell-v-federal-election-commission-2003/",,"John Paul Stevens,Sandra Day O'Connor,David Souter,Ruth Bader Ginsburg,Stephen Breyer","101,102,105,107,108","William Rehnquist,Antonin Scalia,Anthony Kennedy,Clarence Thomas",
625,047,99,1,8,,Roper,Simmons,,respondent,October Term 2004,03-633,,2004-024,543 U.S. 551,,,,Anthony Kennedy,5,4,2004-10-13,2005-03-01,Criminal Procedure,Death Penalty for Minors,8th Amendment (cruel and unusual punishment),"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",,,"""When a juvenile offender commits a heinous crime, the State can exact forfeiture of some of the most basic liberties, but the State cannot extinguish his life and his potential to attain a mature understanding of his own humanity.""",Justice Anthony Kennedy,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2004/03-633/20050301o_03-633.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2004/03-633/20041013a_03-633.delivery.mp3",,,"https://www.oyez.org/cases/2004/03-633","https://en.wikipedia.org/wiki/Roper_v._Simmons",,,"John Paul Stevens,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","104,101,105,107,108","William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Clarence Thomas",
626,089,35,3,A1S8C3,,Gonzales,Raich,,petitioner,October Term 2004,03-1454,,2004-054,545 U.S. 1,,,,John Paul Stevens,6,3,2004-11-29,2005-06-06,Federalism,Marijauna\\and The Commerce Clause,Infrequently litigated statutes,"national supremacy: commodities",,,"""[M]arijuana does have valid therapeutic purposes. The question before us, however, is not whether it is wise to enforce the statute in these circumstances….""",Justice John Paul Stevens,,"https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2004/03-1454/20050606o_03-1454.delivery.mp3,https://s3.amazonaws.com/oyez.case-media.mp3/case_data/2004/03-1454/20041129a_03-1454.delivery.mp3",,,"https://www.oyez.org/cases/2004/03-1454","https://en.wikipedia.org/wiki/Gonzales_v._Raich","https://conlaw.us/case/gonzales-v-raich-2005/",,"John Paul Stevens,Antonin Scalia,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","101,103,104,105,107,108","William Rehnquist,Sandra Day O'Connor,Clarence Thomas",
627,,,,5E,,Kelo,New London,,respondent,October Term 2004,04-108,,2004-069,545 U.S. 469,,,,John Paul Stevens,5,4,2005-02-22,2005-06-23,Due Process,Eminent Domain,5th Amendment (takings clause),"due process: takings clause, or other non-constitutional governmental taking of property",,,"""This Court's authority, however, extends only to determining whether the City's proposed condemnations are for a 'public use' within the meaning of the Fifth Amendment.""",Justice John Paul Stevens,,,,,"https://www.oyez.org/cases/2004/04-108","https://en.wikipedia.org/wiki/Kelo_v._City_of_New_London","https://conlaw.us/case/kelo-v-city-of-new-london-2005/",,"John Paul Stevens,Anthony Kennedy,David Souter,Ruth Bader Ginsburg,Stephen Breyer","101,104,105,107,108","William Rehnquist,Sandra Day O'Connor,Antonin Scalia,Clarence Thomas",
